Waf: Entering directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
[2603/2653] Compiling scratch/vanet3-p2p.cc
[2612/2653] Linking build/scratch/vanet3-p2p
Waf: Leaving directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.231s)
n
n
n
n
n
n
n
n
n
n
n
Promiscuous, NodeId, 4, , from, 02-06-00:00:00:00:00:03, uid, 160, RXtime, +2139628569.0ns,
Promiscuous, NodeId, 0, , from, 02-06-00:00:00:00:00:03, uid, 160, RXtime, +2139628655.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:15, uid, 164, RXtime, +2142456475.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:15, uid, 164, RXtime, +2142456625.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:15, uid, 164, RXtime, +2142456626.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:15, uid, 164, RXtime, +2142456792.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:15, uid, 164, RXtime, +2142456792.0ns,
Promiscuous, NodeId, 29, , from, 02-06-00:00:00:00:00:19, uid, 168, RXtime, +2171269546.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:19, uid, 168, RXtime, +2171269696.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:19, uid, 168, RXtime, +2171269697.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:19, uid, 168, RXtime, +2171269863.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:19, uid, 168, RXtime, +2171269863.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:12, uid, 172, RXtime, +2180615544.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:12, uid, 172, RXtime, +2180615694.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:12, uid, 172, RXtime, +2180615694.0ns,
